id,state,district,city,road_name,road_segment,latitude,longitude,year,month,day,hour,road_category,cause,vehicle_type,road_user_type,weather,road_condition,lighting_condition,traffic_level,accidents,fatalities,injuries
ACC-10001,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79362,77.69768,2021,1,24,7,National Highway,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Rain,Dry / Smooth,Daylight,High,1,1,1
ACC-10002,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79928,77.70024,2024,4,15,0,National Highway,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Poor / Intermittent,Medium,1,1,0
ACC-10003,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.8031,77.70829,2023,10,9,14,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Daylight,High,1,0,2
ACC-10004,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79912,77.69785,2022,12,3,7,National Highway,Wrong-side Driving,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Congested,1,1,1
ACC-10005,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80211,77.70545,2023,12,22,21,National Highway,Poor Lighting,Pedestrian,Vulnerable Road User (VRU),Rain,Under Construction,Unlit / Pitch Black,Low,1,0,1
ACC-10006,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80469,77.6979,2021,4,27,9,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Daylight,Medium,1,0,1
ACC-10007,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79671,77.71046,2024,7,21,8,National Highway,Poor Lighting,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Congested,1,0,1
ACC-10008,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79722,77.70335,2024,2,25,1,National Highway,Poor Lighting,Pedestrian,Vulnerable Road User (VRU),Rain,Dry / Smooth,Poor / Intermittent,Congested,1,0,1
ACC-10009,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79741,77.70251,2021,11,24,20,National Highway,Wrong-side Driving,Heavy Truck,Commercial Goods,Rain,Damaged / Potholes,Poor / Intermittent,High,1,0,2
ACC-10010,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80169,77.69451,2022,9,4,7,National Highway,Poor Lighting,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,0,2
ACC-10011,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80537,77.70675,2023,8,1,9,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,High,1,1,0
